x,y
892672566139143460298624881,535534511400790679288480
892672565633512350298624881,535534511703220227487900
892672565142719030298624881,535534511996774953960967
892672564663293460298624881,535534512283530369088205
892672564185928650298624881,535534512569053196761297
892672563672731010298624881,535534512876008461206367
892672563161779400298624881,535534513181620324008100
892672562650679330298624881,535534513487320984486231
892672562174917000298624881,535534513771885333444648
892672561664216250298624881,535534514077347152157134
892672561194812340298624881,535534514358108385064143
892672560721810080298624881,535534514641021873844821
892672560251552820298624881,535534514922293515530873
892672559782157990298624881,535534515203049318369116
892672559322662270298624881,535534515477884236988423
892672558866383440298624881,535534515750795060269248
892672558464164050298624881,535534515991371694012721
892672557987547670298624881,535534516276446872512024
892672557606055120298624881,535534516504626308753332
892672586954605419109294277,535534498844786308753332
892672584065009499109294277,535534500573119737508143
892672584037166319109294277,535534500589773380524653
892672584024030309109294277,535534500597630328661012
892672595809475023774514095,535534493506000328661012
892672879387531230605532841,535534322869250328661012
892680054906104433947568752,535530005197690328661012
892680125993011517123378012,535529962423440328661012
892680159271095992713708986,535529942399430328661012
892680443003852549932474748,535529771672490328661012
892680440646877449932474748,535529773082226208185152
892680473817792204466123935,535529753122716208185152
892680519815002166434284950,535529725445406208185152
892680756315533340073075752,535529583139026208185152
892680851332435497105486788,535529525965766208185152
892682943498587907118126272,535528267077476208185152
892683063091248586775640382,535528195116926208185152
892683062641248586775640382,535528195386075175824707
892683080908541684219993219,535528184394395175824707
892683178762305786413457285,535528125514455175824707
892683178566082836413457285,535528125631817821818458
892683178316082836413457285,535528125781344987285519
892683177534587076413457285,535528126248764371094535
892683177414005786413457285,535528126320885085258747
892683202691167922667840890,535528111111275085258747
892683202502677922667840890,535528111224012580822939
892683401953127127981413797,535527991212012580822939
892686725808052387503378268,535525991212012580822939
892686763156422978047207585,535525968739172580822939
892686848122513574172798304,535525917614342580822939
892688940285706098047689847,535524658744772580822939
892689842575225190894328285,535524115832532580822939
892691838382938974770694953,535522914948682580822939
892691855002466443032342578,535522904948682580822939
892691864834047360019648048,535522899033002580822939
892691898073104889985477344,535522879033002580822939
892691934736835251356847785,535522856972372580822939
892691953411255034854621777,535522845735942580822939
892692029074703136306979404,535522800209122580822939
892692293655340899548353506,535522641010582580822939
892692293640043989548353506,535522641019731608069798
892692529833145701565158762,535522498902091608069798
892693003349839018680795338,535522213986821608069798
892693398895795097395594938,535521975986821608069798
892694216720963579312777699,535521483902091608069798
892694632211553740262749831,535521233902091608069798
892695473541896916152771667,535520727675731608069798
892695473530996916152771667,535520727682250812632190
892695471185667636152771667,535520729084973875278499
892695470975752366152771667,535520729210522553573747
892695470789752366152771667,535520729321767696308034
892695470685667636152771667,535520729384019957862148
892695469859540266152771667,535520729878120266022851
892695445236640346152771667,535520744604884233524376
892695440746640346152771667,535520747290318223016973
892695436256640346152771667,535520749975752239482962
892695436029318576152771667,535520750111711619674036
892695411405564316152771667,535520764838987675821648
892695386781084676152771667,535520779566698387389688
892695362155999766152771667,535520794294771917582473
892695361716193546152771667,535520794557816636096452
892695360775990236152771667,535520795120145007456953
892695360685990236152771667,535520795173973315592446
892695344291819446152771667,535520804979201017871505
892695339620328996152771667,535520807773183661848043
892695333395328996152771667,535520811496308509674535
892695308764277956152771667,535520826227952095691770
892695308616725836152771667,535520826316201894647829
892695299092080546152771667,535520832012819747898968
892695298803080546152771667,535520832185668450135034
892695295128522166152771667,535520834383393882983034
892695295085217466152771667,535520834409294094955458
892695281242646916152771667,535520842688430471954742
892695460884108078791373007,535520734598690471954742
892695460570076988791373007,535520734786510010564858
892695459570076988791373007,535520735384602189547469
892695459532198078791373007,535520735407257269393118
892695459452719848791373007,535520735454792577216849
892695457096142808791373007,535520736864242879675731
892695455895303228791373007,535520737582455646429559
892695475863162879018073743,535520725567855646429559
892695574227096906555545900,535520666382585646429559
892695574161096906555545900,535520666422059720133152
892695891900415125833779716,535520475239399720133152
892696307964717139991114794,535520224895139720133152
892696356890688680252306881,535520195456589720133152
892696373510384669137924333,535520185456589720133152
892697356851418615232097920,535519593785159720133152
892698400093555928935065001,535518966072959720133152
892698399343015928935065001,535518966521848863293847
892698431122015200990518936,535518947400648863293847
892698431004015200990518936,535518947471223269944298
892698430994015200990518936,535518947477204151864683
892698430939404340990518936,535518947509866262390113
892698447559177673099593482,535518937509866262390113
892698636499402589759544118,535518823825896262390113
892698636489402589759544118,535518823831877141552806
892698636486402589759544118,535518823833671405301640
892698636453752069759544118,535518823853199286774613
892698636395372069759544118,535518823888115659331875
892698636378372069759544118,535518823898283153910900
892698636368372069759544118,535518823904264033075212
892698795139026667360776957,535518728373144033075212
892698866183251875598987787,535518685626374033075212
892699078418260535634521803,535518557926224033075212
892699078085230535634521803,535518558125405054401590
892701170190214084309011358,535517299325405054401590
892701170195166807110050985,535517299322425054401590
892701187497603968255939663,535517288911735054401590
892701207605576676147523756,535517276812985054401590
892701636970921294249298691,535517018468625054401590
892701658224074792775888775,535517005680845054401590
892701682610744161556278474,535516991007665054401590
892701700038764522172860832,535516980521425054401590
892702394826901126249218481,535516562475705054401590
892702863451576809580857985,535516280510205054401590
892702863178227649580857985,535516280673690333420260
892702862850463549580857985,535516280869720221995136
892702860496796239580857985,535516282277406853651876
892702860022214189580857985,535516282561245953036111
892702859969274399580857985,535516282592908301673287
892702859968496239580857985,535516282593373705355791
892704000675177491710828015,535515596245923705355791
892704143197950330769728793,535515510492063705355791
892704142947560330769728793,535515510641817088424771
892704142929652360769728793,535515510652527496556891
892704237266797175053560468,535515453891267496556891
892704270411013122146432879,535515433948887496556891
892704268056114792146432879,535515435357305931286657
892704268045654372146432879,535515435363562103034817
892704267640047172146432879,535515435606147802908530
892704265284462142146432879,535515437014976948153701
892705096143946170995388297,535514937099706948153701
892705167750866149214613882,535514894014976948153701
892705165171666149214613882,535514895557542700346579
892705164625814929214613882,535514895884004936972273
892705259688008657273416346,535514838686624936972273
892705259032993537273416346,535514839078375743676329
