x,y
29058358198402721606912760,16450182313162725104432
29058357620402721606912760,16450182639391787486852
29058357335402721606912760,16450182800248682875609
29058357226317991606912760,16450182861817213540783
29058356771402721606912760,16450183118576021985903
29058356744483741606912760,16450183133769368526327
29058356688075361606912760,16450183165606832931707
29058356509402721606912760,16450183266451492221721
29058356506317991606912760,16450183268192545288333
29058456317011326999448206,16450126594682545288333
29059734637797768456458689,16449400785872545288333
29061517609455460805315684,16448388551702545288333
29061517334455460805315684,16448388706881536091276
29061783279208993481710459,16448237734551536091276
29061783275997173481710459,16448237736363891929306
29062560626163684748958921,16447796463723891929306
29062823766634799496344249,16447647094063891929306
29109919065172157808987689,16420957432743891929306
29113454318786994237052496,16418957432743891929306
29121287970127320092088519,16414527432743891929306
29169621256473209151892534,16387247292693891929306
29218114835947135420914877,16359967521043891929306
29220356106042669795390725,16358708897443891929306
29228318760106564025656635,16354238897443891929306
29229744156696926919744940,16353438978803891929306
29229741804095406919744940,16353440291087328425165
29229741323095406919744940,16353440559389626382089
29229741196095406919744940,16353440630230359329323
29229738842082476919744940,16353441943301347367426
29229922071526019212025415,16353339122351347367426
29229921577805289212025415,16353339397745879658915
29229949301207861518446394,16353323840605879658915
29230090326123701452987391,16353244704155879658915
29230090304423701452987391,16353244716259872844198
29230087949229891452987391,16353246029958128342424
29230087838229891452987391,16353246091872573773217
29230087783229891452987391,16353246122550902764151
29230087753608401452987391,16353246139073408546830
29230087663573471452987391,16353246189293794410380
29230087648567561452987391,16353246197663908022229
29230085091229281452987391,16353247624116141257455
29230125256071193309904662,16353225085656141257455
29230196590412942783662755,16353185056616141257455
29230196580412942783662755,16353185062193977676240
29230196570662442783662755,16353185067632647080046
29230409479061960087685738,16353065595922647080046
29230407479061960087685738,16353066711473732764610
29230399499061960087685738,16353071162524083433371
29230500733502825841572058,16353014356264083433371
29230754212842735675564342,16352872121684083433371
29232536459042640690242814,16351872121684083433371
29232814882233201947979801,16351715912314083433371
29232921903438791351055362,16351655868844083433371
29232921839438791351055362,16351655904535570702754
29233976283917619195538552,16351064339685570702754
29234190463561854679263619,16350944185755570702754
29234295913109305395273111,16350885029625570702754
29236219898970153109501920,16349805768145570702754
29237672503960271021256916,16348991022385570702754
29239543068546731822310389,16347941968395570702754
29240554226201741792815527,16347374944765570702754
29240554216201741792815527,16347374950339450287739
29241787510604209963806967,16346683412969450287739
29241787398307959963806967,16346683475556740474313
29241890740027648636984076,16346625532056740474313
29241991465606071053509762,16346569055816740474313
29242096378484127199935583,16346510232196740474313
29242172599304339780575869,16346467496196740474313
29242170244792769780575869,16346468808427764596470
29242170035877499780575869,16346468924861731694259
29242169925877499780575869,16346468986167621494288
29242169869014739780575869,16346469017858731659182
29242169723541239780575869,16346469098934935952560
29242169705172099780575869,16346469109172540434860
29242169669792769780575869,16346469128890370886032
29242169516792769780575869,16346469214161292592375
29242220006320980582618002,16346440905471292592375
29242217651122910582618002,16346442218080657985197
29242217570347770582618002,16346442263098618645138
29242217506067770582618002,16346442298923434616381
29242244757955827560651896,16346427019253434616381
29244489568722145741888205,16345168490123434616381
29244542323004502407666675,16345138916323434616381
29244645732657697318172179,16345080945673434616381
29244645706787697318172179,16345080960089020517445
29244663545138990415608998,16345070960089020517445
29244663417099070415608998,16345071031436845029242
29244713918285109755004158,16345042721046845029242
29244732667961084880030852,16345032210216845029242
29244859677433758788284193,16344961010676845029242
29246643646759147798542344,16343961010676845029242
29248000781150609218587330,16343200353846845029242
29248062009984251927151650,16343166037516845029242
29249633285068834386073653,16342285449516845029242
29249885637429316737792404,16342144032776845029242
29249885597459316737792404,16342144055041407682973
29249885593579316737792404,16342144057202691226271
29249992679560983171955494,16342084047602691226271
29252238604952270631938983,16340825561572691226271
